,answer_32214,answer_32215,answer_32268,answer_32245,x,y,mu_x,mu_y,width,height,angle
0,0,0,0,0,-0.236180905,-0.095477387,-0.287309062,-0.047438021,0.665557738,0.915146109,-169.546657
1,0,0,0,1,-0.125628141,-0.125628141,-0.099564683,-0.075408326,0.750320386,0.893975838,-165.1992985
2,0,0,0,2,0.015075377,-0.165829146,0.048280516,-0.095725389,0.725778111,0.868815893,-171.2158992
3,0,0,0,3,0.206030151,-0.185929648,0.192808697,-0.109023825,0.675446883,0.849794393,-178.9409914
4,0,0,0,-1,0.095477387,-0.175879397,0.005938933,-0.085053612,0.804106958,0.891249555,-153.805947
5,0,0,1,0,-0.025125628,-0.467336683,-0.202092949,-0.156515608,0.687208056,0.953538731,-160.5299767
6,0,0,1,1,0.095477387,-0.407035176,0.049112667,-0.218367964,0.768887971,0.94620965,-144.5257575
7,0,0,1,2,0.145728643,-0.346733668,0.193456359,-0.25291975,0.730681746,0.889089023,-153.5703608
8,0,0,1,3,0.246231156,-0.246231156,0.33073972,-0.279722048,0.676934502,0.850445328,-164.2938694
9,0,0,1,-1,0.195979899,-0.286432161,0.180663871,-0.245020139,0.772699987,0.939583476,-139.0960914
10,0,0,2,0,0.055276382,-0.628140704,-0.107776881,-0.260279129,0.693406053,0.990232758,-151.613333
11,0,0,2,1,0.336683417,-0.557788945,0.203293316,-0.349577432,0.74076442,0.949437487,-135.2369507
12,0,0,2,2,0.35678392,-0.537688442,0.326287749,-0.386270456,0.700692032,0.848189983,-146.9061806
13,0,0,2,3,0.407035176,-0.477386935,0.440402955,-0.410672316,0.640749977,0.78325167,-163.2945231
14,0,0,2,-1,0.396984925,-0.487437186,0.333142253,-0.381245333,0.720122657,0.891319144,-136.5471205
15,0,0,3,0,0.115577889,-0.75879397,0.148410793,-0.543599167,0.634718613,0.66871701,-63.61294584
16,0,0,3,1,0.527638191,-0.728643216,0.431072445,-0.540844395,0.639087334,0.697507656,-80.50726776
17,0,0,3,2,0.587939698,-0.738693467,0.48665925,-0.5401924,0.626321293,0.645265966,148.3190752
18,0,0,3,3,0.668341709,-0.75879397,0.553894954,-0.539596015,0.566786762,0.64139189,174.6188031
19,0,0,3,-1,0.638190955,-0.748743719,0.512304636,-0.540006617,0.624320016,0.644548446,154.5483196
20,0,0,-1,0,-0.195979899,-0.155778894,-0.208851869,-0.136778477,0.695846654,0.988057417,-156.1079062
21,0,0,-1,1,-0.005025126,-0.27638191,0.089124917,-0.240913039,0.752225907,1.042514838,-137.5640128
22,0,0,-1,2,0.236180905,-0.427135678,0.246109485,-0.296301839,0.714267966,0.971603053,-143.6850455
23,0,0,-1,3,0.547738693,-0.618090452,0.391566922,-0.346030254,0.659401468,0.900427761,-153.1578687
24,0,0,-1,-1,0.467336683,-0.567839196,0.23610496,-0.291850251,0.741534287,1.030362616,-135.4211548
25,0,1,0,0,-0.487437186,-0.206030151,-0.462936,-0.150837484,0.671485035,0.924119401,-178.9761743
26,0,1,0,1,-0.326633166,-0.206030151,-0.293866535,-0.159069812,0.77063854,0.900789495,-178.1736018
27,0,1,0,2,0.005025126,-0.226130653,-0.12677629,-0.165752063,0.790830764,0.876182743,-178.3314496
28,0,1,0,3,0.145728643,-0.216080402,0.064067726,-0.172818648,0.712415033,0.850467452,177.8407725
29,0,1,0,-1,-0.045226131,-0.226130653,-0.223470734,-0.160825507,0.86559119,0.893246995,-165.5877603
30,0,1,1,0,-0.306532663,-0.457286432,-0.389914618,-0.231137522,0.719321158,0.93644109,-167.8320701
31,0,1,1,1,-0.015075377,-0.537688442,-0.164645386,-0.267478871,0.816073192,0.931055708,-143.5731767
32,0,1,1,2,0.045226131,-0.467336683,0.018416125,-0.294837961,0.791718283,0.894508035,-141.7804442
33,0,1,1,3,0.195979899,-0.286432161,0.203754668,-0.321486519,0.721442937,0.837236451,-160.0445612
34,0,1,1,-1,0.135678392,-0.35678392,-0.051304651,-0.282669699,0.832607658,0.97773025,-121.6834801
35,0,1,2,0,-0.135678392,-0.809045226,-0.309488766,-0.302807219,0.746212492,0.965645877,-152.8702237
36,0,1,2,1,0.236180905,-0.67839196,-0.015515931,-0.370830644,0.785257494,0.987681352,-126.1124531
37,0,1,2,2,0.296482412,-0.608040201,0.163873022,-0.412320277,0.744120785,0.892628368,-129.8270047
38,0,1,2,3,0.396984925,-0.487437186,0.326661349,-0.443507513,0.684064549,0.783375138,-150.6482245
39,0,1,2,-1,0.346733668,-0.547738693,0.124734643,-0.39884644,0.768344516,0.99426191,-118.8953409
40,0,1,3,0,-0.075376884,-0.969849246,-0.002030924,-0.591150384,0.603943772,0.72956651,-75.48948848
41,0,1,3,1,0.407035176,-0.75879397,0.283992431,-0.580026888,0.609813094,0.77686706,-82.44699799
42,0,1,3,2,0.487437186,-0.75879397,0.373999872,-0.575932608,0.609324653,0.68920968,-78.37270246
43,0,1,3,3,0.507537688,-0.809045226,0.465325045,-0.573562479,0.601134443,0.624257372,136.6400633
44,0,1,3,-1,0.497487437,-0.778894472,0.392795955,-0.576291951,0.61047762,0.718147471,-80.80482709
45,0,1,-1,0,-0.447236181,-0.246231156,-0.404432413,-0.206727266,0.728265311,0.95018698,-165.3594507
46,0,1,-1,1,-0.326633166,-0.27638191,-0.147194254,-0.265917223,0.812270454,1.011741979,-133.9369133
47,0,1,-1,2,0.005025126,-0.376884422,0.055010742,-0.31465193,0.778211361,0.988213055,-133.4197463
48,0,1,-1,3,0.43718593,-0.59798995,0.259586041,-0.368086759,0.706878767,0.904860239,-145.1487396
49,0,1,-1,-1,0.346733668,-0.547738693,-0.015019516,-0.301356364,0.81153641,1.077182611,-123.0541147
50,0,2,0,0,-0.587939698,-0.246231156,-0.520824975,-0.182611498,0.611384424,0.919120866,-176.089722
51,0,2,0,1,-0.326633166,-0.246231156,-0.389333939,-0.198372806,0.690590696,0.898429678,-173.6357738
52,0,2,0,2,-0.085427136,-0.316582915,-0.247943572,-0.214823984,0.742479232,0.876245298,-170.0721562
