,ID_question,question_DE,question_EN,rapide
0,32214,Befürworten Sie eine Erhöhung des Rentenalters (z.B. auf 67 Jahre)?,"Do you support an increase in the retirement age (e.g., to 67)?",1
1,32215,Soll der Staat mehr Mittel für die Krankenkassen-Prämienverbilligung zur Verfügung stellen?,Should the federal government allocate more funding for health insurance premium subsidies?,1
2,32216,Bei Ehepaaren ist die Höhe der Rente heute auf 150% der maximalen individuellen AHV-Rente begrenzt (Plafonierung). Soll diese Begrenzung abgeschafft werden?,"For married couples, the pension is currently limited to 150% of the maximum individual AHV pension (capping). Should this limit be eliminated?",0
3,32217,Im Rahmen der BVG-Reform sollen die Renten gekürzt werden (Senkung Mindestumwandlungssatz von 6.8% auf 6%). Befürworten Sie diese Massnahme?,"As part of the reform of the BVG (occupational pension plan), pensions are to be reduced (lowering the minimum conversion rate from 6.8% to 6%). Are you in favor of this measure?",0
4,32218,Soll die bezahlte Elternzeit von heute 14 Wochen Mutterschafts- und zwei Wochen Vaterschaftsurlaub ausgebaut werden? [BePart-Frage],Should paid parental leave be increased beyond today's 14 weeks of maternity leave and two weeks of paternity leave? [BePart question],0
5,32219,Soll der Bund den gemeinnützigen Wohnungsbau finanziell stärker fördern? [BePart-Frage],Should the federal government provide more financial support for public housing construction? [BePart question],1
6,32220,Soll für Kinder eine Impfpflicht gemäss dem Schweizerischen Impfplan eingeführt werden?,Should compulsory vaccination of children be introduced based on the Swiss vaccination plan?,0
7,32221,Befürworten Sie die Einführung einer Abgabe auf zuckerhaltige Lebensmittel (Zuckersteuer)?,Are you in favor of the introduction of a tax on foods containing sugar (sugar tax)?,0
8,32222,Sollen sich die Versicherten stärker an den Gesundheitskosten beteiligen (z.B. Erhöhung der Mindestfranchise)?,"Should insured persons contribute more to health care costs (e.g., increase the minimum deductible)?",1
9,32223,Sollen in Zukunft bei Pandemien die Möglichkeiten des Bundesrats zur Einschränkung des Privat- und Wirtschaftslebens stärker begrenzt werden?,Should the Federal Council's ability to restrict private and economic life in the event of a pandemic be more limited?,1
10,32224,Soll der Bund die Kompetenz zur Festlegung des Spitalangebots erhalten (nationale Spitalplanung bzgl. Standorte und Leistungsangebot)?,Should the federal government be given the authority to determine the hospital offering (national hospital planning with regard to locations and range of services)?,0
11,32225,Gemäss dem Konzept der integrativen Schule werden Kinder mit Lernschwierigkeiten oder Behinderungen in regulären Schulklassen unterrichtet. Befürworten Sie dies?,"According to the Swiss integrated schooling concept, children with learning difficulties or disabilities should be taught in regular classes. Do you approve of this concept?",0
12,32226,Soll der Bund die Anforderungen an die gymnasiale Maturität erhöhen?,Should the federal government raise the requirements for the gymnasiale matura?,0
13,32227,Soll sich der Staat stärker für gleiche Bildungschancen einsetzen (z.B. mit Förderunterricht-Gutscheinen für Schüler/-innen aus Familien mit geringem Einkommen)?,"Should the state be more committed to equal educational opportunities (e.g., through subsidized remedial courses for students from low-income families)?",1
14,32228,Sollen die Anforderungen für Einbürgerungen gelockert werden (z.B. kürzere Wohnsitzfrist)?,"Should the conditions for naturalization be relaxed (e.g., shorter residence period)?",1
15,32229,Sollen mehr qualifizierte Arbeitskräfte aus Nicht-EU/EFTA-Staaten in der Schweiz arbeiten dürfen (Erhöhung Drittstaatenkontingent)?,Should more qualified workers from non-EU/EFTA countries be allowed to work in Switzerland (increase third-country quota)?,0
16,32230,"Befürworten Sie Bestrebungen, Asylsuchende während des Asylverfahrens in Zentren ausserhalb Europas unterzubringen?",Do you support efforts to house asylum seekers in centers outside Europe during the asylum procedure?,1
17,32231,"Sollen Ausländer/-innen, die seit mindestens zehn Jahren in der Schweiz leben, das Stimm- und Wahlrecht auf Gemeindeebene erhalten?",Should foreign nationals who have lived in Switzerland for at least ten years be granted the right to vote and stand for election at the municipal level?,1
18,32232,Soll der Konsum von Cannabis legalisiert werden? [BePart-Frage],Should cannabis use be legalized? [BePart question],1
