,index,party,color,party_id,yays,nays
0,6,Grüne,#008000,4,48,27
1,17,FDP,#4169E1,2,37,38
2,40,FDP,#4169E1,2,42,33
3,41,Grüne,#008000,4,44,31
4,44,glp,#32CD32,6,44,31
6,91,CVP,#FFA500,3,38,37
7,98,FDP,#4169E1,2,52,23
8,108,Grüne,#008000,4,50,25
10,159,Grüne,#008000,4,44,31
11,164,Grüne,#008000,4,45,30
13,225,CVP,#FFA500,3,42,33
14,239,FDP,#4169E1,2,44,31
15,246,glp,#32CD32,6,48,27
17,316,CVP,#FFA500,3,41,34
18,317,CVP,#FFA500,3,40,35
19,318,CVP,#FFA500,3,43,32
20,319,CVP,#FFA500,3,56,19
21,320,BDP,#800020,5,47,28
22,328,glp,#32CD32,6,48,27
23,370,FDP,#4169E1,2,29,46
24,385,glp,#32CD32,6,45,30
25,493,SP,#FF0000,1,46,29
28,527,CVP,#FFA500,3,35,40
29,595,FDP,#4169E1,2,49,26
30,613,Grüne,#008000,4,42,33
31,614,Grüne,#008000,4,44,31
32,643,CVP,#FFA500,3,43,32
33,649,BDP,#800020,5,44,31
34,650,SP,#FF0000,1,45,30
35,652,BDP,#800020,5,42,33
36,653,SP,#FF0000,1,49,26
39,658,SVP,#006400,0,33,42
40,736,SP,#FF0000,1,49,26
41,743,SVP,#006400,0,32,43
42,750,CVP,#FFA500,3,34,41
43,753,Grüne,#008000,4,43,32
44,754,Grüne,#008000,4,48,27
46,761,glp,#32CD32,6,43,32
47,765,Grüne,#008000,4,46,29
48,772,Grüne,#008000,4,46,29
49,791,CVP,#FFA500,3,39,36
50,792,CVP,#FFA500,3,45,30
51,795,Grüne,#008000,4,45,30
53,832,SP,#FF0000,1,47,28
54,854,glp,#32CD32,6,43,32
55,874,Grüne,#008000,4,46,29
56,878,SP,#FF0000,1,45,30
57,883,SP,#FF0000,1,47,28
58,895,Grüne,#008000,4,46,29
59,903,Grüne,#008000,4,44,31
60,913,CVP,#FFA500,3,42,33
61,914,CVP,#FFA500,3,40,35
62,915,CVP,#FFA500,3,33,42
63,916,CVP,#FFA500,3,48,27
64,918,BDP,#800020,5,35,40
65,919,SP,#FF0000,1,44,31
66,920,SP,#FF0000,1,44,31
68,925,FDP,#4169E1,2,27,48
69,931,SVP,#006400,0,28,47
70,951,FDP,#4169E1,2,37,38
72,955,SP,#FF0000,1,47,28
74,1007,Grüne,#008000,4,48,27
75,1015,Grüne,#008000,4,46,29
76,1022,Grüne,#008000,4,47,28
79,1040,CVP,#FFA500,3,35,40
80,1041,BDP,#800020,5,48,27
81,1042,SP,#FF0000,1,46,29
82,1043,SP,#FF0000,1,42,33
83,1044,SP,#FF0000,1,44,31
84,1045,SP,#FF0000,1,44,31
85,1049,Grüne,#008000,4,47,28
86,1078,CVP,#FFA500,3,53,22
88,1087,CVP,#FFA500,3,46,29
89,1092,FDP,#4169E1,2,42,33
92,1115,SP,#FF0000,1,47,28
96,1134,Grüne,#008000,4,51,24
99,1171,FDP,#4169E1,2,48,27
100,1172,FDP,#4169E1,2,37,38
101,1185,BDP,#800020,5,47,28
102,1186,BDP,#800020,5,49,26
104,1205,SVP,#006400,0,39,36
105,1219,Grüne,#008000,4,46,29
106,1226,CVP,#FFA500,3,41,34
108,1241,FDP,#4169E1,2,37,38
109,1243,glp,#32CD32,6,44,31
110,1260,SVP,#006400,0,36,39
111,1270,BDP,#800020,5,49,26
112,1275,Grüne,#008000,4,47,28
113,1276,Grüne,#008000,4,46,29
114,1281,Grüne,#008000,4,39,36
115,1284,BDP,#800020,5,41,34
117,1290,Grüne,#008000,4,45,30
118,1294,Grüne,#008000,4,45,30
119,1295,SVP,#006400,0,34,41
120,1300,FDP,#4169E1,2,30,45
121,1304,CVP,#FFA500,3,36,39
123,1313,BDP,#800020,5,43,32
124,1314,SP,#FF0000,1,45,30
125,1315,SP,#FF0000,1,48,27
127,1319,SVP,#006400,0,30,45
128,1320,FDP,#4169E1,2,38,37
129,1321,FDP,#4169E1,2,35,40
130,1333,SVP,#006400,0,26,49
131,1351,FDP,#4169E1,2,36,39
132,1352,FDP,#4169E1,2,38,37
133,1364,FDP,#4169E1,2,36,39
134,1366,glp,#32CD32,6,44,31
135,1371,SVP,#006400,0,38,37
136,1374,SVP,#006400,0,33,42
137,1375,SVP,#006400,0,42,33
139,1391,glp,#32CD32,6,46,29
140,1393,glp,#32CD32,6,45,30
141,1399,Grüne,#008000,4,42,33
142,1405,Grüne,#008000,4,40,35
143,1407,CVP,#FFA500,3,37,38
144,1408,Grüne,#008000,4,44,31
146,1410,FDP,#4169E1,2,32,43
